login_id,user_id,timestamp,login_hour,day_of_week,country,city,usual_country,usual_city,device_type,browser,ip_address,failed_attempts,mfa_used,mfa_type,mfa_failed_attempts,new_device,foreign_login,unusual_hour,impossible_travel,suspicious_ip,login_success,attack_type,is_suspicious,no_mfa,multiple_failed_attempts,high_failed_attempts,risky_new_device_no_mfa,risky_foreign_no_mfa,risky_unusual_hour,mfa_fatigue_risk
L000015,U0079,2026-07-15 10:29:00,10,Wednesday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,116.248.124.215,3,True,Authenticator App,4,False,False,False,False,False,False,MFA Fatigue,1,False,True,False,False,False,False,True
L000016,U0027,2026-07-06 19:24:00,19,Monday,Canada,Vancouver,Canada,Vancouver,Mobile,Safari,109.102.51.91,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000017,U0033,2026-07-07 20:22:00,20,Tuesday,United States,Chicago,United States,Chicago,Desktop,Edge,189.213.208.201,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000018,U0051,2026-07-08 14:04:00,14,Wednesday,United Kingdom,London,United Kingdom,London,Tablet,Firefox,166.104.165.210,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000019,U0197,2026-07-06 19:08:00,19,Monday,United States,Edison,United States,Edison,Mobile,Chrome,50.62.98.106,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000020,U0179,2026-07-07 17:10:00,17,Tuesday,United States,San Francisco,United States,San Francisco,Tablet,Firefox,160.100.254.5,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000021,U0060,2026-07-26 17:05:00,17,Sunday,India,Mumbai,India,Mumbai,Mobile,Safari,211.255.197.178,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000022,U0117,2026-07-15 17:34:00,17,Wednesday,United States,Edison,United States,Edison,Laptop,Firefox,220.174.211.97,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000023,U0219,2026-07-20 18:37:00,18,Monday,Brazil,São Paulo,Brazil,São Paulo,Laptop,Chrome,211.140.9.168,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000024,U0041,2026-07-02 00:04:00,0,Thursday,United States,New York,United States,New York,Laptop,Safari,148.207.191.183,0,True,Authenticator App,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000025,U0146,2026-07-13 00:51:00,0,Monday,United States,Boston,United States,Boston,Laptop,Safari,55.3.211.175,0,True,Email Code,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000026,U0186,2026-07-16 19:37:00,19,Thursday,United States,New York,United States,New York,Laptop,Chrome,31.36.39.223,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000027,U0121,2026-07-02 12:11:00,12,Thursday,United Kingdom,Manchester,United Kingdom,Manchester,Desktop,Chrome,99.2.43.72,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000028,U0239,2026-07-02 11:36:00,11,Thursday,United States,New York,United States,New York,Desktop,Safari,53.109.125.2,2,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000029,U0037,2026-07-28 09:23:00,9,Tuesday,United States,Chicago,United States,Chicago,Laptop,Chrome,36.170.86.5,1,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000030,U0042,2026-07-27 20:32:00,20,Monday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,111.208.238.63,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000031,U0180,2026-07-31 20:52:00,20,Friday,Brazil,São Paulo,Brazil,São Paulo,Laptop,Chrome,45.5.241.138,1,True,Authenticator App,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000032,U0245,2026-07-28 13:35:00,13,Tuesday,United States,Edison,United States,Edison,Desktop,Chrome,47.83.152.247,3,True,SMS,0,True,False,False,False,False,True,New Device Login,1,False,True,False,False,False,False,False
L000033,U0131,2026-07-27 19:35:00,19,Monday,Canada,Toronto,United States,New York,Desktop,Chrome,108.42.247.196,2,True,Email Code,0,False,True,False,False,False,True,Foreign Login,1,False,False,False,False,False,False,False
L000034,U0154,2026-07-28 11:37:00,11,Tuesday,United States,Edison,United States,Edison,Laptop,Chrome,89.184.184.45,10,False,Unknown,0,False,False,False,False,False,True,Brute Force,1,True,True,True,False,False,False,False
L000035,U0136,2026-07-15 13:46:00,13,Wednesday,United States,Chicago,United States,Chicago,Laptop,Safari,162.180.165.190,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000036,U0180,2026-07-19 18:00:00,18,Sunday,Brazil,São Paulo,Brazil,São Paulo,Mobile,Chrome,151.239.53.107,0,True,SMS,0,True,False,False,False,False,False,New Device Login,1,False,False,False,False,False,False,False
L000037,U0056,2026-07-28 15:12:00,15,Tuesday,United Kingdom,Manchester,United States,New York,Laptop,Chrome,183.102.210.200,3,False,Unknown,0,False,True,False,False,False,False,Foreign Login,1,True,True,False,False,True,False,False
L000038,U0002,2026-07-23 06:54:00,6,Thursday,Germany,Berlin,Germany,Berlin,Laptop,Chrome,195.149.150.15,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000039,U0167,2026-07-24 09:39:00,9,Friday,United States,San Francisco,United States,San Francisco,Mobile,Firefox,100.41.49.91,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000040,U0236,2026-07-20 15:46:00,15,Monday,United States,Chicago,United States,Chicago,Mobile,Chrome,179.171.104.221,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000041,U0184,2026-07-30 14:54:00,14,Thursday,United States,Boston,United States,Boston,Laptop,Safari,92.161.37.103,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000042,U0042,2026-07-30 07:44:00,7,Thursday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,65.137.12.87,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000043,U0137,2026-07-25 17:24:00,17,Saturday,United States,Chicago,United States,Chicago,Laptop,Safari,104.181.239.31,1,True,Email Code,0,True,False,False,False,False,True,New Device Login,1,False,False,False,False,False,False,False
L000044,U0101,2026-07-12 12:07:00,12,Sunday,Germany,Berlin,United States,Edison,Laptop,Chrome,111.51.128.166,0,True,Authenticator App,0,False,True,False,False,False,False,Foreign Login,1,False,False,False,False,False,False,False
L000045,U0081,2026-07-08 09:09:00,9,Wednesday,United States,New York,United States,New York,Laptop,Firefox,211.140.156.161,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000046,U0227,2026-07-30 19:05:00,19,Thursday,United States,Boston,United States,Boston,Laptop,Safari,38.173.160.214,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000047,U0015,2026-07-01 11:22:00,11,Wednesday,India,Delhi,India,Delhi,Laptop,Chrome,154.108.48.42,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000048,U0193,2026-07-22 16:12:00,16,Wednesday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,19.167.191.185,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000049,U0114,2026-07-13 09:04:00,9,Monday,United Kingdom,Manchester,United Kingdom,Manchester,Desktop,Edge,199.163.5.131,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000050,U0110,2026-07-30 11:55:00,11,Thursday,Germany,Berlin,Germany,Berlin,Desktop,Safari,56.194.86.25,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000051,U0034,2026-07-05 03:51:00,3,Sunday,India,Bangalore,India,Bangalore,Laptop,Chrome,165.244.72.6,1,True,Authenticator App,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000052,U0196,2026-07-15 19:59:00,19,Wednesday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Desktop,Chrome,93.189.122.80,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000053,U0123,2026-07-27 14:35:00,14,Monday,United States,San Francisco,United States,San Francisco,Tablet,Chrome,57.178.25.249,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000054,U0052,2026-07-31 15:44:00,15,Friday,United States,Boston,United States,Boston,Laptop,Chrome,87.15.190.42,3,True,SMS,0,False,False,False,False,True,False,Suspicious IP Login,1,False,True,False,False,False,False,False
L000055,U0124,2026-07-02 19:34:00,19,Thursday,Germany,Munich,Germany,Munich,Laptop,Firefox,184.62.49.138,10,False,Unknown,0,False,False,False,False,False,False,Brute Force,1,True,True,True,False,False,False,False
L000056,U0164,2026-07-06 15:12:00,15,Monday,United States,Edison,United States,Edison,Laptop,Chrome,79.126.180.82,1,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000057,U0225,2026-07-16 19:17:00,19,Thursday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,43.16.168.228,8,False,Unknown,0,False,False,False,False,False,False,Brute Force,1,True,True,True,False,False,False,False
L000058,U0091,2026-07-09 09:38:00,9,Thursday,United States,Chicago,United States,Chicago,Laptop,Chrome,119.15.129.252,0,False,Unknown,0,False,False,False,False,False,False,Normal,0,True,False,False,False,False,False,False
L000059,U0013,2026-07-03 11:58:00,11,Friday,United Kingdom,Manchester,United Kingdom,Manchester,Desktop,Chrome,54.107.238.233,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000060,U0060,2026-07-15 11:09:00,11,Wednesday,India,Mumbai,India,Mumbai,Mobile,Safari,119.191.97.47,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000061,U0064,2026-07-20 10:29:00,10,Monday,India,Bangalore,India,Bangalore,Laptop,Safari,216.75.177.217,1,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000062,U0165,2026-07-10 19:57:00,19,Friday,Germany,Berlin,Germany,Berlin,Mobile,Chrome,117.210.64.127,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000063,U0111,2026-07-16 11:44:00,11,Thursday,United States,Chicago,United States,Chicago,Tablet,Safari,61.21.0.142,1,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000064,U0250,2026-07-18 08:31:00,8,Saturday,United States,San Francisco,United States,San Francisco,Desktop,Chrome,223.166.30.243,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000065,U0141,2026-07-03 02:50:00,2,Friday,Canada,Toronto,Canada,Toronto,Laptop,Chrome,165.246.147.96,0,True,Authenticator App,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000066,U0124,2026-07-28 14:44:00,14,Tuesday,Germany,Munich,Germany,Munich,Laptop,Firefox,174.245.249.145,9,False,Unknown,0,False,False,False,False,False,False,Brute Force,1,True,True,True,False,False,False,False
L000067,U0079,2026-07-11 10:14:00,10,Saturday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,99.115.53.94,0,False,Unknown,0,False,False,False,False,False,False,Normal,0,True,False,False,False,False,False,False
L000068,U0214,2026-07-15 14:25:00,14,Wednesday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,191.6.192.45,6,False,Unknown,0,False,False,False,False,True,False,Credential Stuffing,1,True,True,True,False,False,False,False
L000069,U0067,2026-07-10 18:36:00,18,Friday,United States,Chicago,United States,Chicago,Laptop,Edge,19.12.159.178,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000070,U0102,2026-07-29 08:22:00,8,Wednesday,United States,Chicago,United States,Chicago,Mobile,Chrome,181.250.244.166,1,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000071,U0151,2026-07-14 15:27:00,15,Tuesday,Canada,Toronto,Canada,Toronto,Laptop,Chrome,108.173.119.208,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000072,U0130,2026-07-26 17:04:00,17,Sunday,United States,Edison,United States,Edison,Tablet,Chrome,157.157.136.99,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000073,U0032,2026-07-27 16:05:00,16,Monday,India,Mumbai,India,Mumbai,Laptop,Firefox,16.86.32.60,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000074,U0246,2026-07-20 07:06:00,7,Monday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,14.119.147.39,1,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000075,U0190,2026-07-07 18:01:00,18,Tuesday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,186.151.36.123,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000076,U0143,2026-07-23 11:40:00,11,Thursday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,49.152.75.212,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000077,U0179,2026-07-02 18:54:00,18,Thursday,United States,San Francisco,United States,San Francisco,Tablet,Firefox,51.79.19.234,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000078,U0175,2026-07-16 10:40:00,10,Thursday,United States,Boston,United States,Boston,Laptop,Chrome,195.232.96.232,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000079,U0238,2026-07-26 09:22:00,9,Sunday,United States,San Francisco,United States,San Francisco,Mobile,Chrome,14.20.168.124,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000080,U0186,2026-07-14 05:06:00,5,Tuesday,United States,New York,United States,New York,Laptop,Chrome,191.119.71.156,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000081,U0135,2026-07-29 10:27:00,10,Wednesday,United States,Boston,United States,Boston,Laptop,Chrome,131.171.54.74,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000082,U0244,2026-07-21 20:44:00,20,Tuesday,Germany,Berlin,United States,New York,Tablet,Chrome,12.142.6.34,5,True,Authenticator App,0,False,True,False,True,False,False,Impossible Travel,1,False,True,True,False,False,False,False
L000083,U0094,2026-07-30 06:50:00,6,Thursday,United States,San Francisco,United States,San Francisco,Laptop,Safari,10.185.157.17,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000084,U0218,2026-07-03 14:09:00,14,Friday,United Kingdom,London,United Kingdom,London,Laptop,Chrome,78.31.55.228,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000085,U0037,2026-07-18 15:24:00,15,Saturday,United States,Chicago,United States,Chicago,Laptop,Chrome,172.206.240.20,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000086,U0211,2026-07-31 21:00:00,21,Friday,United States,San Francisco,Canada,Toronto,Desktop,Firefox,188.60.21.69,2,False,Unknown,0,False,True,False,True,False,False,Impossible Travel,1,True,False,False,False,True,False,False
L000087,U0012,2026-07-30 14:24:00,14,Thursday,United States,San Francisco,United States,San Francisco,Desktop,Chrome,89.6.214.229,0,True,Email Code,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000088,U0043,2026-07-28 08:29:00,8,Tuesday,United States,New York,United States,New York,Laptop,Safari,60.50.128.16,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000089,U0181,2026-07-10 21:16:00,21,Friday,India,Bangalore,Brazil,São Paulo,Mobile,Chrome,163.105.77.239,3,False,Unknown,0,False,True,False,False,False,False,Foreign Login,1,True,True,False,False,True,False,False
L000090,U0218,2026-07-20 11:54:00,11,Monday,United Kingdom,London,United Kingdom,London,Laptop,Chrome,205.46.181.173,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000091,U0232,2026-07-18 02:40:00,2,Saturday,United States,New York,United States,New York,Laptop,Chrome,147.218.188.22,1,True,Email Code,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000092,U0134,2026-07-13 03:57:00,3,Monday,United States,New York,United States,New York,Desktop,Safari,128.221.120.8,0,True,SMS,0,False,False,True,False,False,True,Normal,0,False,False,False,False,False,False,False
L000093,U0133,2026-07-29 06:37:00,6,Wednesday,United States,San Francisco,United States,San Francisco,Desktop,Safari,44.15.133.50,0,False,Unknown,0,False,False,False,False,False,False,Normal,0,True,False,False,False,False,False,False
L000094,U0106,2026-07-07 17:01:00,17,Tuesday,United States,Boston,United States,Boston,Desktop,Chrome,203.219.228.22,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000095,U0199,2026-07-19 06:55:00,6,Sunday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,152.111.173.157,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000096,U0247,2026-07-01 18:18:00,18,Wednesday,United States,Edison,United States,Edison,Desktop,Chrome,97.110.129.57,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000097,U0179,2026-07-06 19:41:00,19,Monday,United States,San Francisco,United States,San Francisco,Tablet,Firefox,61.150.23.223,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000098,U0123,2026-07-20 12:23:00,12,Monday,United States,San Francisco,United States,San Francisco,Tablet,Chrome,96.89.130.251,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000099,U0189,2026-07-25 10:20:00,10,Saturday,Germany,Munich,United States,San Francisco,Mobile,Safari,106.83.113.30,3,True,SMS,0,False,True,False,True,False,True,Impossible Travel,1,False,True,False,False,False,False,False
L000100,U0176,2026-07-08 08:15:00,8,Wednesday,United States,Chicago,United States,Chicago,Laptop,Chrome,167.195.26.68,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000101,U0084,2026-07-22 16:37:00,16,Wednesday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Laptop,Edge,136.127.206.172,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000102,U0195,2026-07-22 11:34:00,11,Wednesday,United States,New York,United States,New York,Mobile,Safari,132.26.42.137,9,False,Unknown,0,False,False,False,False,False,True,Brute Force,1,True,True,True,False,False,False,False
L000103,U0047,2026-07-23 15:14:00,15,Thursday,United States,San Francisco,United States,San Francisco,Laptop,Firefox,16.25.12.110,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000104,U0082,2026-07-19 11:54:00,11,Sunday,United States,San Francisco,United States,San Francisco,Laptop,Firefox,112.144.9.211,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000105,U0099,2026-07-13 18:20:00,18,Monday,United States,Boston,United States,Boston,Desktop,Safari,206.109.153.212,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000106,U0196,2026-07-29 10:31:00,10,Wednesday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Desktop,Chrome,11.145.0.89,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000107,U0096,2026-07-12 10:27:00,10,Sunday,Germany,Munich,Germany,Munich,Desktop,Chrome,136.123.59.44,10,True,SMS,0,False,False,False,False,False,False,Brute Force,1,False,True,True,False,False,False,False
L000108,U0249,2026-07-20 11:23:00,11,Monday,United Kingdom,Manchester,United States,Boston,Desktop,Chrome,150.216.73.249,1,False,Unknown,0,False,True,False,False,False,False,Foreign Login,1,True,False,False,False,True,False,False
L000109,U0022,2026-07-25 06:01:00,6,Saturday,United Kingdom,Manchester,United Kingdom,Manchester,Laptop,Chrome,120.135.125.106,0,True,Email Code,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000110,U0087,2026-07-18 15:09:00,15,Saturday,United States,Chicago,United States,Chicago,Desktop,Chrome,213.108.216.114,0,True,SMS,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000111,U0001,2026-07-02 18:04:00,18,Thursday,United States,Edison,United States,Edison,Laptop,Chrome,193.17.120.118,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000112,U0045,2026-07-19 08:14:00,8,Sunday,Germany,Berlin,Germany,Berlin,Tablet,Chrome,214.203.238.87,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000113,U0094,2026-07-02 09:17:00,9,Thursday,United States,San Francisco,United States,San Francisco,Laptop,Safari,95.6.173.141,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000114,U0164,2026-07-08 10:31:00,10,Wednesday,Germany,Munich,United States,Edison,Laptop,Chrome,220.238.107.17,4,True,SMS,0,False,True,False,False,False,False,Foreign Login,1,False,True,False,False,False,False,False
L000115,U0156,2026-07-27 15:54:00,15,Monday,Brazil,Rio de Janeiro,Brazil,Rio de Janeiro,Desktop,Chrome,85.106.116.235,0,True,SMS,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000116,U0152,2026-07-23 01:55:00,1,Thursday,United States,Boston,United States,Boston,Mobile,Edge,192.227.220.226,6,False,Unknown,0,False,False,True,False,False,True,Brute Force,1,True,True,True,False,False,True,False
L000117,U0154,2026-07-15 12:39:00,12,Wednesday,United States,Edison,United States,Edison,Laptop,Chrome,218.63.18.82,9,False,Unknown,0,False,False,False,False,False,False,Brute Force,1,True,True,True,False,False,False,False
L000118,U0112,2026-07-15 19:41:00,19,Wednesday,United States,Chicago,United States,Chicago,Tablet,Edge,61.77.85.106,0,True,Authenticator App,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000119,U0140,2026-07-16 09:11:00,9,Thursday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,159.231.166.169,1,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000120,U0218,2026-07-17 18:29:00,18,Friday,United Kingdom,London,United Kingdom,London,Laptop,Chrome,83.35.230.128,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000121,U0065,2026-07-04 01:39:00,1,Saturday,Brazil,São Paulo,Brazil,São Paulo,Laptop,Safari,178.89.106.202,0,True,Email Code,0,False,False,True,False,False,False,Normal,0,False,False,False,False,False,False,False
L000122,U0203,2026-07-12 18:07:00,18,Sunday,United States,San Francisco,United States,San Francisco,Laptop,Chrome,42.12.83.243,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000123,U0088,2026-07-26 11:01:00,11,Sunday,United States,Chicago,United States,Chicago,Mobile,Chrome,79.68.50.29,1,True,Authenticator App,0,False,False,False,False,False,False,Normal,0,False,False,False,False,False,False,False
L000124,U0113,2026-07-18 19:16:00,19,Saturday,United States,New York,United States,New York,Laptop,Safari,13.225.41.251,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000125,U0179,2026-07-20 16:01:00,16,Monday,United States,San Francisco,United States,San Francisco,Tablet,Firefox,96.39.48.33,0,False,Unknown,0,False,False,False,False,False,True,Normal,0,True,False,False,False,False,False,False
L000126,U0118,2026-07-30 08:42:00,8,Thursday,United States,New York,United States,New York,Laptop,Safari,153.163.178.16,0,True,SMS,0,False,False,False,False,False,True,Normal,0,False,False,False,False,False,False,False
L000127,U0050,2026-07-20 14:04:00,14,Monday,United States,San Francisco,United States,San Francisco,Mobile,Chrome,208.89.81.37,9,False,Unknown,0,False,False,False,False,False,True,Brute Force,1,True,True,True,False,False,False,False
