login_id,user_id,timestamp,login_hour,day_of_week,country,city,device_type,browser,ip_address,failed_attempts,mfa_used,mfa_type,new_device,foreign_login,unusual_hour,impossible_travel,suspicious_ip,login_success,attack_type,is_suspicious
L000017,U038,2026-07-28 05:49:00,5,Tuesday,United Kingdom,London,Laptop,Safari,100.132.125.194,0,False,None,False,False,False,False,False,True,Normal,0
L000018,U034,2026-07-13 16:55:00,16,Monday,United States,Edison,Tablet,Chrome,137.55.84.249,1,True,SMS,False,False,False,False,False,True,Normal,0
L000019,U079,2026-07-13 14:00:00,14,Monday,United States,Edison,Laptop,Safari,52.197.233.92,0,False,None,False,False,False,False,False,True,Normal,0
L000020,U095,2026-07-14 14:10:00,14,Tuesday,Brazil,Rio de Janeiro,Desktop,Edge,168.123.163.208,0,False,None,False,False,False,False,False,False,Normal,0
L000021,U058,2026-07-06 19:27:00,19,Monday,United Kingdom,London,Desktop,Edge,170.73.245.159,0,False,None,True,False,False,False,True,True,Suspicious IP Login,1
L000022,U053,2026-07-15 02:47:00,2,Wednesday,Brazil,Rio de Janeiro,Desktop,Safari,148.233.167.69,2,False,None,False,False,True,False,False,True,Normal,0
L000023,U058,2026-07-29 00:40:00,0,Wednesday,United Kingdom,Manchester,Mobile,Chrome,106.230.0.31,1,False,None,False,False,True,False,False,True,Normal,0
L000024,U017,2026-07-01 06:52:00,6,Wednesday,Germany,Munich,Laptop,Chrome,184.188.191.88,0,False,None,False,False,False,False,False,True,Normal,0
L000025,U014,2026-07-25 08:52:00,8,Saturday,Germany,Munich,Desktop,Firefox,74.62.107.254,0,True,Email Code,False,False,False,False,False,True,Normal,0
L000026,U016,2026-07-21 15:36:00,15,Tuesday,Germany,Berlin,Mobile,Safari,168.149.254.44,0,True,SMS,False,False,False,False,False,True,Normal,0
L000027,U053,2026-07-05 09:14:00,9,Sunday,Canada,Toronto,Laptop,Safari,119.190.26.4,2,False,None,False,False,False,False,False,True,Normal,0
L000028,U086,2026-07-31 05:48:00,5,Friday,United Kingdom,Manchester,Desktop,Safari,135.243.117.151,0,False,None,False,False,False,True,True,True,Suspicious IP Login,1
L000029,U089,2026-07-26 03:31:00,3,Sunday,India,Bangalore,Laptop,Edge,169.76.165.162,1,True,Authenticator App,True,False,True,False,False,True,Normal,0
L000030,U033,2026-07-24 09:27:00,9,Friday,United Kingdom,Manchester,Mobile,Safari,33.205.237.244,1,False,None,False,False,False,False,False,True,Normal,0
L000031,U086,2026-07-21 15:16:00,15,Tuesday,Brazil,Rio de Janeiro,Laptop,Edge,206.153.67.139,0,True,Authenticator App,False,False,False,False,True,True,Suspicious IP Login,1
L000032,U041,2026-07-25 18:10:00,18,Saturday,Germany,Berlin,Desktop,Safari,109.156.97.122,0,False,None,True,False,False,False,False,True,New Device Login,1
L000033,U018,2026-07-19 08:09:00,8,Sunday,India,Mumbai,Desktop,Firefox,72.221.21.237,0,True,None,True,True,False,False,False,True,Normal,0
L000034,U047,2026-07-26 10:32:00,10,Sunday,Germany,Berlin,Desktop,Chrome,179.32.92.96,0,False,None,False,False,False,False,False,True,Normal,0
L000035,U089,2026-07-08 16:49:00,16,Wednesday,Brazil,São Paulo,Tablet,Safari,113.58.46.108,1,False,None,True,False,False,False,False,True,New Device Login,1
L000036,U097,2026-07-16 04:10:00,4,Thursday,United States,San Francisco,Desktop,Edge,115.70.13.148,0,False,None,False,True,True,False,False,True,Normal,0
L000037,U014,2026-07-29 17:29:00,17,Wednesday,Canada,Vancouver,Tablet,Edge,90.8.19.88,1,False,None,False,False,False,False,False,False,Normal,0
L000038,U011,2026-07-02 07:01:00,7,Thursday,Germany,Munich,Tablet,Firefox,168.191.202.241,1,True,SMS,True,True,False,False,False,True,Normal,0
L000039,U016,2026-07-29 08:31:00,8,Wednesday,Germany,Munich,Tablet,Chrome,66.43.58.143,1,True,SMS,True,True,False,False,False,False,Normal,0
L000040,U019,2026-07-31 01:24:00,1,Friday,Canada,Vancouver,Desktop,Chrome,130.186.0.90,0,True,SMS,False,False,True,False,False,True,Normal,0
L000041,U013,2026-07-13 10:13:00,10,Monday,United States,New York,Laptop,Chrome,49.190.156.24,0,False,None,False,True,False,False,False,True,Normal,0
L000042,U097,2026-07-21 16:41:00,16,Tuesday,Germany,Berlin,Laptop,Safari,104.198.97.131,1,True,SMS,False,False,False,False,False,True,Normal,0
L000043,U042,2026-07-09 22:47:00,22,Thursday,Brazil,São Paulo,Desktop,Edge,173.247.224.33,1,False,None,False,True,False,False,False,True,Normal,0
L000044,U065,2026-07-11 00:16:00,0,Saturday,Germany,Berlin,Tablet,Chrome,199.78.72.17,0,True,SMS,False,False,True,True,False,False,Impossible Travel,1
L000045,U091,2026-07-27 19:40:00,19,Monday,United States,Chicago,Laptop,Chrome,190.254.85.157,0,True,Email Code,True,False,False,False,False,True,Normal,0
L000046,U077,2026-07-20 10:18:00,10,Monday,United Kingdom,Manchester,Mobile,Firefox,39.199.178.183,7,True,None,True,False,False,False,False,True,Brute Force,1
L000047,U078,2026-07-08 06:09:00,6,Wednesday,Canada,Vancouver,Desktop,Edge,34.90.116.112,0,False,None,False,False,False,False,False,True,Normal,0
L000048,U022,2026-07-10 09:27:00,9,Friday,Canada,Vancouver,Mobile,Chrome,177.166.47.172,1,False,None,False,False,False,False,True,True,Suspicious IP Login,1
L000049,U002,2026-07-28 23:40:00,23,Tuesday,Brazil,São Paulo,Tablet,Edge,213.191.23.58,0,False,None,False,False,False,False,False,False,Normal,0
L000050,U036,2026-07-16 14:49:00,14,Thursday,United States,San Francisco,Mobile,Edge,25.39.27.59,2,True,None,False,False,False,False,False,True,Normal,0
L000051,U039,2026-07-20 23:31:00,23,Monday,United Kingdom,Manchester,Mobile,Chrome,24.169.187.75,1,False,None,False,False,False,False,False,True,Normal,0
L000052,U021,2026-07-17 18:03:00,18,Friday,Brazil,Rio de Janeiro,Laptop,Edge,29.46.199.32,1,True,Email Code,False,False,False,False,False,True,Normal,0
L000053,U073,2026-07-24 21:02:00,21,Friday,Canada,Toronto,Laptop,Chrome,149.233.127.172,2,False,None,False,False,False,False,True,True,Suspicious IP Login,1
L000054,U048,2026-07-25 20:01:00,20,Saturday,Germany,Munich,Desktop,Safari,48.100.163.50,0,False,None,True,True,False,False,False,True,New Device Login,1
L000055,U058,2026-07-23 12:19:00,12,Thursday,Germany,Berlin,Desktop,Safari,178.27.54.126,0,False,None,True,False,False,False,False,True,New Device Login,1
L000056,U017,2026-07-30 00:24:00,0,Thursday,United States,Chicago,Laptop,Edge,51.118.146.36,1,False,None,False,True,True,False,True,True,Suspicious IP Login,1
L000057,U048,2026-07-14 05:56:00,5,Tuesday,Germany,Berlin,Laptop,Safari,123.81.168.191,0,True,Email Code,False,True,False,False,False,True,Normal,0
L000058,U076,2026-07-30 05:26:00,5,Thursday,Brazil,São Paulo,Desktop,Safari,217.141.200.186,0,True,Email Code,False,False,False,False,False,False,Normal,0
L000059,U094,2026-07-24 08:14:00,8,Friday,Germany,Munich,Desktop,Chrome,181.57.108.6,2,True,SMS,False,False,False,False,False,True,Normal,0
L000060,U024,2026-07-09 13:41:00,13,Thursday,Brazil,São Paulo,Mobile,Firefox,191.82.129.52,0,False,None,True,False,False,False,False,False,New Device Login,1
L000061,U038,2026-07-07 08:59:00,8,Tuesday,Brazil,Rio de Janeiro,Mobile,Firefox,10.166.121.105,2,True,None,False,False,False,False,False,True,Normal,0
L000062,U044,2026-07-09 19:12:00,19,Thursday,India,Bangalore,Desktop,Safari,14.39.111.174,0,True,Email Code,True,False,False,False,True,True,Suspicious IP Login,1
L000063,U050,2026-07-28 22:42:00,22,Tuesday,Canada,Toronto,Mobile,Firefox,201.96.53.240,2,False,None,False,False,False,False,False,True,Normal,0
L000064,U099,2026-07-05 01:45:00,1,Sunday,United States,Edison,Tablet,Safari,195.97.11.48,0,True,SMS,False,False,True,False,False,True,Normal,0
L000065,U086,2026-07-01 04:38:00,4,Wednesday,United States,San Francisco,Laptop,Chrome,57.43.110.33,0,False,None,False,False,True,False,False,True,Normal,0
L000066,U007,2026-07-14 19:48:00,19,Tuesday,Brazil,São Paulo,Desktop,Chrome,37.5.88.21,1,False,None,True,False,False,False,False,False,New Device Login,1
L000067,U023,2026-07-27 21:10:00,21,Monday,Canada,Toronto,Desktop,Edge,48.212.118.133,0,True,Email Code,True,False,False,False,False,True,Normal,0
L000068,U073,2026-07-19 05:14:00,5,Sunday,Germany,Munich,Mobile,Chrome,15.138.233.92,2,True,SMS,False,False,False,False,False,True,Normal,0
L000069,U028,2026-07-25 22:14:00,22,Saturday,Germany,Munich,Mobile,Edge,63.69.36.198,0,True,Authenticator App,False,True,False,False,False,True,Normal,0
L000070,U043,2026-07-08 15:57:00,15,Wednesday,India,Delhi,Mobile,Chrome,136.245.78.199,7,True,Email Code,False,False,False,True,True,False,Brute Force,1
L000071,U071,2026-07-22 07:42:00,7,Wednesday,Canada,Vancouver,Tablet,Chrome,155.197.184.14,1,False,None,False,False,False,False,False,True,Normal,0
L000072,U065,2026-07-09 20:02:00,20,Thursday,United States,Edison,Laptop,Edge,215.192.198.176,1,False,None,False,False,False,False,False,True,Normal,0
L000073,U028,2026-07-23 00:12:00,0,Thursday,Germany,Berlin,Laptop,Firefox,154.169.186.96,1,False,None,False,True,True,False,False,True,Normal,0
L000074,U076,2026-07-26 22:44:00,22,Sunday,United States,Chicago,Tablet,Chrome,199.108.177.7,1,False,None,True,False,False,False,False,True,New Device Login,1
L000075,U045,2026-07-13 21:40:00,21,Monday,United Kingdom,London,Laptop,Edge,103.75.155.83,2,False,None,False,False,False,False,True,True,Suspicious IP Login,1
L000076,U085,2026-07-25 13:37:00,13,Saturday,Germany,Munich,Tablet,Chrome,172.61.45.22,0,False,None,True,False,False,False,False,True,New Device Login,1
L000077,U078,2026-07-06 06:03:00,6,Monday,United Kingdom,Manchester,Desktop,Chrome,18.84.17.14,0,True,Email Code,True,True,False,False,False,True,Normal,0
L000078,U011,2026-07-05 22:01:00,22,Sunday,United Kingdom,Manchester,Desktop,Firefox,32.64.211.77,0,True,SMS,False,False,False,False,False,True,Normal,0
L000079,U013,2026-07-26 20:13:00,20,Sunday,Canada,Vancouver,Mobile,Safari,176.156.148.90,4,True,None,False,False,False,False,False,True,Normal,0
L000080,U091,2026-07-13 05:59:00,5,Monday,United States,Edison,Mobile,Safari,29.73.157.228,0,True,Authenticator App,False,False,False,False,False,True,Normal,0
L000081,U050,2026-07-10 20:11:00,20,Friday,Canada,Vancouver,Tablet,Chrome,141.54.7.238,0,False,None,False,False,False,False,False,True,Normal,0
L000082,U046,2026-07-16 10:36:00,10,Thursday,Canada,Vancouver,Laptop,Safari,195.126.220.197,1,False,None,False,False,False,False,False,True,Normal,0
L000083,U075,2026-07-05 08:51:00,8,Sunday,India,Bangalore,Desktop,Edge,210.176.48.95,4,False,None,False,False,False,False,False,True,Normal,0
L000084,U065,2026-07-06 22:15:00,22,Monday,Brazil,Rio de Janeiro,Mobile,Edge,101.36.35.248,1,False,None,True,False,False,False,False,True,New Device Login,1
L000085,U017,2026-07-26 04:45:00,4,Sunday,United States,San Francisco,Laptop,Firefox,24.47.155.215,0,False,None,False,True,True,False,False,True,Normal,0
L000086,U073,2026-07-22 22:39:00,22,Wednesday,Germany,Munich,Tablet,Safari,126.215.10.52,2,False,None,False,False,False,False,False,False,Normal,0
L000087,U070,2026-07-07 03:42:00,3,Tuesday,Germany,Berlin,Laptop,Safari,212.48.16.154,1,True,SMS,False,False,True,False,False,True,Normal,0
L000088,U067,2026-07-06 09:10:00,9,Monday,Brazil,São Paulo,Desktop,Chrome,65.230.61.109,1,True,Authenticator App,False,False,False,False,False,True,Normal,0
L000089,U016,2026-07-28 01:40:00,1,Tuesday,Germany,Munich,Laptop,Edge,103.40.148.106,0,True,Email Code,False,False,True,False,False,True,Normal,0
L000090,U051,2026-07-31 08:52:00,8,Friday,Germany,Munich,Desktop,Chrome,91.12.119.34,1,False,None,False,False,False,True,False,True,Impossible Travel,1
L000091,U082,2026-07-23 03:45:00,3,Thursday,India,Delhi,Laptop,Edge,148.61.159.74,0,True,None,False,False,True,False,False,True,Normal,0
L000092,U032,2026-07-31 18:17:00,18,Friday,United Kingdom,Manchester,Tablet,Safari,211.117.150.26,4,False,None,False,False,False,False,False,False,Normal,0
L000093,U053,2026-07-22 16:09:00,16,Wednesday,Germany,Munich,Laptop,Safari,101.195.31.100,0,True,Authenticator App,False,True,False,False,False,False,Normal,0
L000094,U061,2026-07-27 10:08:00,10,Monday,Brazil,Rio de Janeiro,Laptop,Firefox,54.190.125.71,1,True,None,False,False,False,False,False,True,Normal,0
L000095,U028,2026-07-28 21:04:00,21,Tuesday,Canada,Vancouver,Tablet,Chrome,97.216.82.197,0,True,SMS,False,False,False,True,False,True,Impossible Travel,1
L000096,U063,2026-07-14 03:38:00,3,Tuesday,United Kingdom,London,Laptop,Firefox,55.21.113.246,4,True,Email Code,False,False,True,False,False,True,Normal,0
L000097,U023,2026-07-19 08:03:00,8,Sunday,Germany,Berlin,Tablet,Chrome,49.47.58.157,3,False,None,False,False,False,False,False,True,Normal,0
L000098,U069,2026-07-28 02:33:00,2,Tuesday,Germany,Munich,Laptop,Chrome,54.125.7.251,6,False,None,True,False,True,False,False,True,Brute Force,1
L000099,U012,2026-07-06 16:56:00,16,Monday,India,Delhi,Mobile,Firefox,44.12.221.174,0,False,None,False,False,False,False,False,False,Normal,0
L000100,U056,2026-07-10 06:22:00,6,Friday,Canada,Toronto,Laptop,Safari,175.142.191.17,1,True,Authenticator App,False,False,False,False,True,True,Suspicious IP Login,1
L000101,U072,2026-07-16 07:01:00,7,Thursday,India,Mumbai,Laptop,Firefox,36.94.29.227,0,False,None,False,False,False,False,False,False,Normal,0
L000102,U057,2026-07-23 09:27:00,9,Thursday,United Kingdom,London,Mobile,Edge,34.157.125.206,0,True,None,True,False,False,False,False,True,Normal,0
L000103,U031,2026-07-29 06:02:00,6,Wednesday,Germany,Berlin,Tablet,Chrome,17.13.167.132,2,False,None,False,False,False,False,False,True,Normal,0
L000104,U088,2026-07-04 14:10:00,14,Saturday,Brazil,São Paulo,Desktop,Edge,40.15.171.96,0,False,None,False,False,False,False,False,True,Normal,0
L000105,U093,2026-07-28 11:29:00,11,Tuesday,Canada,Toronto,Laptop,Firefox,132.175.132.160,0,False,None,False,False,False,False,False,True,Normal,0
L000106,U048,2026-07-09 11:15:00,11,Thursday,United Kingdom,Manchester,Mobile,Edge,57.63.134.151,0,False,None,False,False,False,False,False,False,Normal,0
L000107,U026,2026-07-08 19:43:00,19,Wednesday,United States,San Francisco,Desktop,Edge,33.61.191.80,1,True,None,True,True,False,False,False,False,Normal,0
L000108,U076,2026-07-22 09:55:00,9,Wednesday,Canada,Toronto,Desktop,Edge,140.129.106.231,0,True,Email Code,False,False,False,False,False,True,Normal,0
L000109,U092,2026-07-06 15:11:00,15,Monday,Canada,Vancouver,Laptop,Safari,80.125.151.186,0,True,SMS,False,False,False,False,False,True,Normal,0
L000110,U056,2026-07-02 04:48:00,4,Thursday,Germany,Munich,Laptop,Chrome,85.24.69.162,1,True,Email Code,True,False,True,False,False,True,Normal,0
L000111,U017,2026-07-28 05:00:00,5,Tuesday,India,Mumbai,Desktop,Firefox,36.173.61.152,2,True,None,False,False,False,False,False,True,Normal,0
L000112,U011,2026-07-01 12:17:00,12,Wednesday,United States,Edison,Tablet,Chrome,10.197.236.87,2,True,Authenticator App,False,True,False,False,False,True,Normal,0
L000113,U010,2026-07-18 21:32:00,21,Saturday,United States,Chicago,Laptop,Safari,168.129.40.76,1,False,None,False,False,False,False,False,True,Normal,0
L000114,U081,2026-07-27 05:54:00,5,Monday,Canada,Toronto,Laptop,Safari,220.111.144.46,3,False,None,False,False,False,False,False,True,Normal,0
L000115,U047,2026-07-02 23:22:00,23,Thursday,Brazil,Rio de Janeiro,Laptop,Safari,166.152.52.72,0,False,None,False,False,False,False,False,True,Normal,0
L000116,U084,2026-07-01 04:24:00,4,Wednesday,Canada,Toronto,Laptop,Chrome,119.123.27.68,0,True,Authenticator App,False,False,True,False,False,True,Normal,0
L000117,U065,2026-07-01 16:05:00,16,Wednesday,India,Mumbai,Laptop,Chrome,123.15.113.224,2,False,None,False,True,False,False,False,True,Normal,0
L000118,U100,2026-07-18 16:49:00,16,Saturday,India,Delhi,Tablet,Safari,153.57.175.101,0,False,None,True,True,False,True,False,False,Impossible Travel,1
L000119,U066,2026-07-16 14:10:00,14,Thursday,United Kingdom,London,Desktop,Edge,152.144.115.222,0,True,Email Code,False,False,False,False,False,True,Normal,0
L000120,U037,2026-07-31 08:50:00,8,Friday,Germany,Berlin,Laptop,Safari,72.60.152.21,0,True,SMS,False,False,False,False,False,True,Normal,0
L000121,U075,2026-07-07 20:06:00,20,Tuesday,Brazil,São Paulo,Mobile,Edge,178.168.38.169,1,True,None,False,False,False,False,False,True,Normal,0
L000122,U047,2026-07-03 20:42:00,20,Friday,Canada,Vancouver,Desktop,Chrome,103.115.167.226,0,True,None,True,False,False,False,False,True,Normal,0
L000123,U089,2026-07-01 03:22:00,3,Wednesday,India,Mumbai,Tablet,Chrome,96.184.217.200,1,False,None,False,False,True,False,False,False,Normal,0
L000124,U021,2026-07-11 13:43:00,13,Saturday,United Kingdom,Manchester,Laptop,Firefox,96.30.237.165,3,True,None,False,True,False,False,False,True,Foreign Login,1
L000125,U034,2026-07-23 06:34:00,6,Thursday,India,Delhi,Desktop,Chrome,31.117.215.191,1,False,None,False,False,False,False,False,True,Normal,0
L000126,U055,2026-07-02 23:35:00,23,Thursday,United Kingdom,Manchester,Desktop,Chrome,196.236.251.28,2,True,Email Code,True,True,False,False,False,True,Normal,0
L000127,U099,2026-07-13 10:42:00,10,Monday,United States,San Francisco,Desktop,Safari,85.138.245.9,1,False,None,False,False,False,False,False,True,Normal,0
L000128,U083,2026-07-22 01:09:00,1,Wednesday,India,Bangalore,Mobile,Chrome,14.224.4.158,1,True,SMS,False,False,True,False,False,False,Normal,0
L000129,U042,2026-07-14 12:47:00,12,Tuesday,United Kingdom,Manchester,Laptop,Chrome,115.118.152.193,2,True,Email Code,False,False,False,False,False,True,Normal,0
L000130,U083,2026-07-12 17:03:00,17,Sunday,Canada,Vancouver,Tablet,Firefox,58.69.0.89,0,True,SMS,True,False,False,False,False,True,Normal,0
L000131,U050,2026-07-06 09:36:00,9,Monday,United States,San Francisco,Tablet,Chrome,199.233.195.193,0,True,Email Code,False,False,False,False,False,True,Normal,0
L000132,U042,2026-07-26 01:43:00,1,Sunday,Germany,Berlin,Laptop,Safari,64.100.179.206,0,True,SMS,False,False,True,False,False,True,Normal,0
L000133,U076,2026-07-21 22:06:00,22,Tuesday,Canada,Vancouver,Desktop,Chrome,179.4.235.56,0,False,None,True,False,False,True,False,False,Impossible Travel,1
L000134,U100,2026-07-07 12:55:00,12,Tuesday,India,Delhi,Mobile,Safari,204.67.191.74,6,False,None,True,False,False,False,False,True,Brute Force,1
L000135,U098,2026-07-15 14:57:00,14,Wednesday,United States,New York,Tablet,Safari,56.123.61.194,4,True,None,False,True,False,False,False,True,Foreign Login,1
L000136,U075,2026-07-29 19:28:00,19,Wednesday,Canada,Vancouver,Desktop,Edge,25.194.8.59,1,False,None,False,False,False,False,False,True,Normal,0
L000137,U086,2026-07-17 17:39:00,17,Friday,Canada,Toronto,Mobile,Firefox,170.30.124.128,1,False,None,False,False,False,False,False,True,Normal,0
L000138,U063,2026-07-16 20:36:00,20,Thursday,Brazil,Rio de Janeiro,Desktop,Safari,68.90.75.26,0,False,None,False,False,False,False,False,True,Normal,0
L000139,U051,2026-07-24 18:20:00,18,Friday,Brazil,Rio de Janeiro,Desktop,Safari,193.108.109.116,4,False,None,False,False,False,False,False,False,Normal,0
L000140,U023,2026-07-31 16:12:00,16,Friday,Canada,Toronto,Mobile,Edge,221.16.46.115,0,False,None,False,True,False,False,False,False,Normal,0
L000141,U042,2026-07-10 12:06:00,12,Friday,United States,Chicago,Mobile,Chrome,67.229.140.247,0,False,None,False,False,False,False,False,True,Normal,0
L000142,U097,2026-07-14 01:32:00,1,Tuesday,Brazil,Rio de Janeiro,Mobile,Firefox,116.244.47.198,0,False,None,False,False,True,False,False,True,Normal,0
L000143,U096,2026-07-04 22:13:00,22,Saturday,Canada,Vancouver,Mobile,Firefox,170.211.93.14,1,False,None,False,False,False,False,False,True,Normal,0
L000144,U095,2026-07-20 17:15:00,17,Monday,Germany,Berlin,Laptop,Firefox,11.35.194.17,0,True,Authenticator App,True,False,False,False,False,True,Normal,0
L000145,U013,2026-07-18 02:54:00,2,Saturday,United States,Chicago,Desktop,Firefox,193.155.44.40,5,True,SMS,False,True,True,False,False,False,Brute Force,1
L000146,U021,2026-07-11 04:07:00,4,Saturday,India,Mumbai,Desktop,Safari,81.72.135.239,1,False,None,False,False,True,False,False,True,Normal,0
L000147,U073,2026-07-22 19:15:00,19,Wednesday,Brazil,São Paulo,Tablet,Firefox,145.51.36.8,1,False,None,False,False,False,False,False,True,Normal,0
L000148,U025,2026-07-12 14:39:00,14,Sunday,Canada,Toronto,Desktop,Edge,113.143.138.110,0,False,None,False,False,False,False,False,True,Normal,0
L000149,U005,2026-07-13 19:54:00,19,Monday,Brazil,Rio de Janeiro,Laptop,Chrome,131.114.88.9,4,True,Authenticator App,False,False,False,False,True,False,Suspicious IP Login,1
L000150,U026,2026-07-17 03:37:00,3,Friday,Germany,Munich,Mobile,Edge,219.188.35.42,2,False,None,False,False,True,False,False,True,Normal,0
L000151,U002,2026-07-30 04:16:00,4,Thursday,United States,San Francisco,Laptop,Chrome,210.207.121.142,1,True,Email Code,False,False,True,False,False,True,Normal,0
L000152,U005,2026-07-04 21:15:00,21,Saturday,United Kingdom,Manchester,Mobile,Safari,157.221.252.192,2,False,None,True,False,False,False,False,True,New Device Login,1
L000153,U048,2026-07-25 10:07:00,10,Saturday,India,Bangalore,Tablet,Safari,214.185.236.121,1,True,Authenticator App,False,False,False,False,False,False,Normal,0
L000154,U091,2026-07-11 10:42:00,10,Saturday,Brazil,São Paulo,Mobile,Edge,44.217.144.190,2,True,SMS,False,False,False,False,False,True,Normal,0
L000155,U081,2026-07-14 06:50:00,6,Tuesday,India,Delhi,Mobile,Safari,123.1.117.202,0,True,Authenticator App,False,False,False,False,False,True,Normal,0
L000156,U023,2026-07-25 23:39:00,23,Saturday,India,Bangalore,Laptop,Safari,119.114.194.200,2,True,Email Code,True,True,False,False,False,True,Normal,0
L000157,U050,2026-07-04 19:11:00,19,Saturday,Germany,Munich,Mobile,Firefox,218.236.125.101,0,True,Email Code,False,False,False,False,True,True,Suspicious IP Login,1
L000158,U027,2026-07-28 01:49:00,1,Tuesday,Germany,Munich,Mobile,Edge,56.84.230.140,6,True,SMS,False,True,True,False,False,False,Brute Force,1
L000159,U091,2026-07-30 00:37:00,0,Thursday,Canada,Toronto,Tablet,Safari,130.223.138.216,4,False,None,False,False,True,False,False,True,Normal,0
L000160,U084,2026-07-09 18:06:00,18,Thursday,India,Delhi,Mobile,Edge,158.237.12.164,1,True,SMS,True,False,False,False,False,True,Normal,0
L000161,U096,2026-07-29 16:08:00,16,Wednesday,Germany,Munich,Mobile,Firefox,74.224.109.38,0,True,Authenticator App,True,False,False,False,False,True,Normal,0
L000162,U018,2026-07-04 05:15:00,5,Saturday,United States,New York,Tablet,Chrome,174.220.79.118,0,True,SMS,False,False,False,False,False,True,Normal,0
L000163,U003,2026-07-08 18:09:00,18,Wednesday,Brazil,Rio de Janeiro,Laptop,Safari,216.174.192.111,1,True,None,False,False,False,False,False,True,Normal,0
L000164,U083,2026-07-14 10:45:00,10,Tuesday,United States,Chicago,Laptop,Safari,105.145.214.81,1,True,None,False,False,False,False,False,False,Normal,0
L000165,U008,2026-07-27 15:23:00,15,Monday,India,Mumbai,Mobile,Firefox,20.114.61.17,1,True,SMS,False,True,False,False,False,True,Normal,0
L000166,U031,2026-07-05 14:05:00,14,Sunday,Germany,Berlin,Tablet,Edge,122.98.70.224,0,True,SMS,False,False,False,False,False,True,Normal,0
L000167,U082,2026-07-10 20:39:00,20,Friday,India,Delhi,Laptop,Safari,185.128.80.22,0,False,None,False,False,False,False,True,True,Suspicious IP Login,1
L000168,U037,2026-07-29 00:38:00,0,Wednesday,India,Bangalore,Laptop,Chrome,11.135.203.51,0,True,Email Code,False,False,True,False,False,True,Normal,0
L000169,U019,2026-07-10 23:27:00,23,Friday,United States,New York,Tablet,Chrome,112.17.71.125,1,True,None,False,False,False,False,False,True,Normal,0
L000170,U070,2026-07-22 01:56:00,1,Wednesday,United States,Edison,Mobile,Edge,73.212.198.153,1,False,None,False,False,True,False,False,True,Normal,0
L000171,U010,2026-07-06 10:51:00,10,Monday,Canada,Vancouver,Tablet,Chrome,82.151.78.109,0,False,None,False,False,False,False,False,True,Normal,0
L000172,U016,2026-07-19 03:32:00,3,Sunday,Germany,Munich,Desktop,Edge,222.89.213.54,5,True,SMS,False,False,True,False,False,True,Brute Force,1
